,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
0,BHAIRUNARAINMA1,,@PMOIndia @narendramodi @ashokgehlot51 #govt should take a firm decision for save bhartiya public from coronavirus #rajasthan should lockdown strictly in july like other states jaan ha to jahaan hai,0,2,0,1277753432602886144,https://twitter.com/BHAIRUNARAINMA1/status/1277753432602886144,1158206053412007942,2020-06-29 23:58:52+00:00,Mon Jun 29 23:58:52 +0000 2020,#govt #rajasthan,@PMOIndia @narendramodi @ashokgehlot51,,
1,Coolfellowhere,,"@PMOIndia @BSYBJP @nimmasuresh Small Pvt School Teachers depended on Salaries which are lesser than bluecollar workers (8k to 12k pm) During lockdown country came to standstill &amp; Pvt School Teachers forced to live without salaries for months now forgotten by Govt, do something ",0,0,0,1277753269981523979,https://twitter.com/Coolfellowhere/status/1277753269981523979,139446423,2020-06-29 23:58:13+00:00,Mon Jun 29 23:58:13 +0000 2020,,@PMOIndia @BSYBJP @nimmasuresh,,
2,RohitMGaikwad,CMOMaharashtra,Enforce a complete lockdown. This relaxation won't help the coronavirus numbers come down. Must have a curfew like lockdown in Mumbai.,0,0,0,1277752318855802880,https://twitter.com/RohitMGaikwad/status/1277752318855802880,499672474,2020-06-29 23:54:26+00:00,Mon Jun 29 23:54:26 +0000 2020,,,,
3,ltravel395,,"No Lockdown Extension In Punjab, Says Amarinder Singh ",0,0,0,1277751992077684743,https://twitter.com/ltravel395/status/1277751992077684743,995883804257480704,2020-06-29 23:53:09+00:00,Mon Jun 29 23:53:09 +0000 2020,,,,https://www.gotravelblogger.com/no-lockdown-extension-in-punjab-says-amarinder-singh/
4,cherrymp,,".@SSNInstitutions bids farewell to one of its long-standing principals Dr. S. Salivahanan today. Due to the #Covid19Chennai #lockdown, the event, a ""Zoom Party"", will take place virtually. #CMPWorks",0,32,1,1277751976768368642,https://twitter.com/cherrymp/status/1277751976768368642,42655926,2020-06-29 23:53:05+00:00,Mon Jun 29 23:53:05 +0000 2020,#Covid19Chennai #lockdown #CMPWorks,@SSNInstitutions,,
5,pkgangotri,,"@Uber_Support will cab service to airport be available on Sunday, 5th July during lockdown in Bangalore",1,0,1,1277751886196535296,https://twitter.com/pkgangotri/status/1277751886196535296,1033374524799164416,2020-06-29 23:52:43+00:00,Mon Jun 29 23:52:43 +0000 2020,,@Uber_Support,,
6,Vishwachauhan3,sahil_sehgal,We are not pelting stones on your army or policemen ! We are not harbouring terrorist ! We are not Turing into mititants ! We don't kill when in dispute rather we take it through law with proper regulations ! So yeah we don't deserve to be in lockdown in the case you defined !,0,0,0,1277750520854089728,https://twitter.com/Vishwachauhan3/status/1277750520854089728,1005427597981806592,2020-06-29 23:47:18+00:00,Mon Jun 29 23:47:18 +0000 2020,,,,
7,BeuraPiush,,"Sir, need an another complete Lockdown. Otherwise thinking will be out of control.",0,1,0,1277749598954508288,https://twitter.com/BeuraPiush/status/1277749598954508288,1252154020761874432,2020-06-29 23:43:38+00:00,Mon Jun 29 23:43:38 +0000 2020,,,,
8,sundarivenkat,,#Grounded during #lockdown #Covid_19 #coronavirus #TheGroomSeries #3 #Romance #NewRelease #indie #indiebooks #romancebooks #romancenovels #indiepublished #indieauthor @AmazonKDP Her touch was soothing as well as exciting. Huh! How was that even possible?! https://viewbook.at/Grounded,0,0,0,1277749438459461632,https://twitter.com/sundarivenkat/status/1277749438459461632,36604760,2020-06-29 23:43:00+00:00,Mon Jun 29 23:43:00 +0000 2020,#Grounded #lockdown #Covid_19 #coronavirus #TheGroomSeries #Romance #NewRelease #indie #indiebooks #romancebooks #romancenovels #indiepublished #indieauthor,@AmazonKDP,,https://viewbook.at/Grounded
9,BeuraPiush,PMOIndia,"Sir, need an another complete Lockdown. Otherwise thinking will be out of control.",0,1,0,1277748925475074050,https://twitter.com/BeuraPiush/status/1277748925475074050,1252154020761874432,2020-06-29 23:40:57+00:00,Mon Jun 29 23:40:57 +0000 2020,,,,
10,BeuraPiush,PMOIndia,"Sir, need another complete Lockdown. Otherwise thinking will be out of control.",0,1,0,1277748725507518464,https://twitter.com/BeuraPiush/status/1277748725507518464,1252154020761874432,2020-06-29 23:40:10+00:00,Mon Jun 29 23:40:10 +0000 2020,,,,
11,BeuraPiush,HFWOdisha,"Sir, need another complete Lockdown. Otherwise thinking will be out of control.",0,1,0,1277748359571406849,https://twitter.com/BeuraPiush/status/1277748359571406849,1252154020761874432,2020-06-29 23:38:42+00:00,Mon Jun 29 23:38:42 +0000 2020,,,,
12,Mushtaq41716585,TOIBengaluru,It's pm time on lockdown,0,0,0,1277747572480675840,https://twitter.com/Mushtaq41716585/status/1277747572480675840,1246722389829812225,2020-06-29 23:35:35+00:00,Mon Jun 29 23:35:35 +0000 2020,,,,
13,biasbuster99,marvinlim707,lockdown was started a month later on 23rd jan in wuhan thats exactly 1 month later than first cases i am not jumping on the fact i am seeing what we have right now whts scienetifically is correct if the spanish study is proved right i would consider europe to be ground zero,0,0,0,1277747556827533312,https://twitter.com/biasbuster99/status/1277747556827533312,1254775663208181761,2020-06-29 23:35:31+00:00,Mon Jun 29 23:35:31 +0000 2020,,,,
14,kvsmanian1411,,Central Govt shud tell openly the need for the presen daily doses of increase in petro and diesel .When States are not relaxing lockdown norms for travel in big cities will additional revenue accrue to them from these increases,0,0,0,1277747404431745025,https://twitter.com/kvsmanian1411/status/1277747404431745025,3270946926,2020-06-29 23:34:55+00:00,Mon Jun 29 23:34:55 +0000 2020,,,,
15,Rimi_06_,,Lockdown extended till 31st July in Maharashtra. Neet is on 26 July? Andr rehna h ya exam Dena h? @DrRPNishank @DG_NTA @ndtv There's still no postpone news? What are we supposed to do;? Padhai chorde? #carryminati #TikTok #postponejeeneet2020,0,2,1,1277747156795813889,https://twitter.com/Rimi_06_/status/1277747156795813889,1234217837155115008,2020-06-29 23:33:56+00:00,Mon Jun 29 23:33:56 +0000 2020,#carryminati #TikTok #postponejeeneet2020,@DrRPNishank @DG_NTA @ndtv,,
16,aryamanshukla2,DrRPNishank,sir plz apply #moderationpolicy this year bcoz teachers hv checked our copies at their homes during #lockdown n teachers also hv their families so moodswings r common thing n this can fluctuate our marks @DrRPNishank @cbseindia29 @HRDMinistry @atc_iitjee_neet #WewantModeration,1,0,0,1277746806273617920,https://twitter.com/aryamanshukla2/status/1277746806273617920,880539434290221060,2020-06-29 23:32:32+00:00,Mon Jun 29 23:32:32 +0000 2020,#moderationpolicy #lockdown #WewantModeration,@DrRPNishank @cbseindia29 @HRDMinistry @atc_iitjee_neet,,
17,pa_1,HardeepSPuri,@Eatala_Rajender @KTRTRS @TelanganaCMO @hydcitypolice @TV9Telugu @MoCA_GoI please ensure domestic flight operations are not affected due to state Lockdown’s. VBM &amp; domestic flights are only rescue as of now,0,0,0,1277746649922629633,https://twitter.com/pa_1/status/1277746649922629633,134337373,2020-06-29 23:31:55+00:00,Mon Jun 29 23:31:55 +0000 2020,,@Eatala_Rajender @KTRTRS @TelanganaCMO @hydcitypolice @TV9Telugu @MoCA_GoI,,
18,biasbuster99,roseliu64212002,Also just answer 3 questions 1) why did they initiate lockdown so late 2) why did they allow chinese new year celebration during the pandemic 3) virus didnt spread to shanghai and other places they are now facing issues ,0,0,1,1277745957908541441,https://twitter.com/biasbuster99/status/1277745957908541441,1254775663208181761,2020-06-29 23:29:10+00:00,Mon Jun 29 23:29:10 +0000 2020,,,,https://www.google.com/amp/s/www.livescience.com/amp/first-case-coronavirus-found.html
19,ANIVERMA10,,Lockdown tightened in Leicester over Covid surge ,0,0,0,1277745604458938372,https://twitter.com/ANIVERMA10/status/1277745604458938372,1265980328125952002,2020-06-29 23:27:46+00:00,Mon Jun 29 23:27:46 +0000 2020,,,,https://inewz.news/lockdown-tightened-in-leicester-over-covid-surge/
20,SubhaCh49839918,,"Hello @makemytrip @makemytripcare It is very frustrating but even after multiple attempts of getting in touch with you people, it is impossible to do so. I had booked two flights on two different dates(details below) which got cancelled due to the imposition of lockdown.",0,0,1,1277745471029538822,https://twitter.com/SubhaCh49839918/status/1277745471029538822,1275209310386049025,2020-06-29 23:27:14+00:00,Mon Jun 29 23:27:14 +0000 2020,,@makemytrip @makemytripcare,,
21,biasbuster99,roseliu64212002,its called community transmission not outbreak it further states how irresponsible china was. first case is said to be in november and lockdown was initiated on jan 23 . do i need to tell more?,0,0,0,1277745429489184768,https://twitter.com/biasbuster99/status/1277745429489184768,1254775663208181761,2020-06-29 23:27:04+00:00,Mon Jun 29 23:27:04 +0000 2020,,,,
22,BanglaViral,,Mayor of Leicester discusses local lockdown preparations and frustrations ,0,0,0,1277745054161858561,https://twitter.com/BanglaViral/status/1277745054161858561,739987116721983489,2020-06-29 23:25:34+00:00,Mon Jun 29 23:25:34 +0000 2020,,,,http://www.banglaviral.com/mayor-of-leicester-discusses-local-lockdown-preparations-and-frustrations/
23,aknaharINC,avinashonly,"cyber ban is an impossible task and how it’ll be executed... It’ll be like notebandi, gst and lockdown... fusssss.....",0,1,0,1277744796073725954,https://twitter.com/aknaharINC/status/1277744796073725954,967820097954852864,2020-06-29 23:24:33+00:00,Mon Jun 29 23:24:33 +0000 2020,,,,
24,theworldinnews,,Covid-19 news: Leicester faces prolonged lockdown after local outbreak ,0,0,0,1277744134397341696,https://twitter.com/theworldinnews/status/1277744134397341696,1235930179630821378,2020-06-29 23:21:55+00:00,Mon Jun 29 23:21:55 +0000 2020,,,,https://theworldinnews.com/covid-19-news-leicester-faces-prolonged-lockdown-after-local-outbreak-21473/
25,ArjunChellappa,ArjunChellappa,@CMOMaharashtra ji @PMOIndia ji We request to help Mumbaikars from this issues of being overbilled by @Adani_Elec_Mum And do @Adani_Elec_Mum have any justification to place infront of the people who were paying the bills on time inspite of the lockdown ? ,0,0,1,1277743975609233408,https://twitter.com/ArjunChellappa/status/1277743975609233408,1242657042751348736,2020-06-29 23:21:17+00:00,Mon Jun 29 23:21:17 +0000 2020,,@CMOMaharashtra @PMOIndia @Adani_Elec_Mum @Adani_Elec_Mum,,https://twitter.com/ArjunChellappa/status/1277741311060107264
26,FazeelMohd,,"@CPHydCity i urge you to please check in old city hyderabad areas many persons are not wearing masks, please be strict as you were in lockdown as only mask and social distancing can stop this virus",0,0,0,1277743951718477829,https://twitter.com/FazeelMohd/status/1277743951718477829,1574573892,2020-06-29 23:21:12+00:00,Mon Jun 29 23:21:12 +0000 2020,,@CPHydCity,,
27,IMGJSRINIVAS,Sarah_Taylor30,"Suicide figures are up 200% since lockdown. Could 2 friends please copy and re-post this tweet? We’re trying to demonstrate that someone is always listening. Call 116 123 (Samaritans UK) Just two. Any two. Copy, not retweet #SuicideAwareness",0,0,0,1277743325668241409,https://twitter.com/IMGJSRINIVAS/status/1277743325668241409,2565221983,2020-06-29 23:18:42+00:00,Mon Jun 29 23:18:42 +0000 2020,#SuicideAwareness,,,https://twitter.com/Sarah_Taylor30/status/1277737562333904897
28,MiddleEastTon,,Watford forward Gray sorry for gathering breaching lockdown ,0,0,0,1277743294987087874,https://twitter.com/MiddleEastTon/status/1277743294987087874,1092120433476792321,2020-06-29 23:18:35+00:00,Mon Jun 29 23:18:35 +0000 2020,,,,https://iran.timesofnews.com/entertainment/watford-forward-gray-sorry-for-gathering-breaching-lockdown.html
29,ANewsBuddy,,Leicester City to seek clarity over government’s local lockdown | Football News ,0,0,0,1277743027910574081,https://twitter.com/ANewsBuddy/status/1277743027910574081,1001113877948448769,2020-06-29 23:17:31+00:00,Mon Jun 29 23:17:31 +0000 2020,,,,https://anewsbuddy.com/leicester-city-to-seek-clarity-over-governments-local-lockdown-football-news/
30,siqb78,damienmartyn,Morning fella you seem to be enjoying this lockdown,0,1,1,1277742891251707905,https://twitter.com/siqb78/status/1277742891251707905,2297279486,2020-06-29 23:16:59+00:00,Mon Jun 29 23:16:59 +0000 2020,,,,
31,FatimaHasanSays,,"This lockdown really did show us how flawed education is. FAST dislikes memers, LGS was hosting sexual assaulters for a pretty long time, and LUMS has also shown us how sexual assault is common in students. #education #StudentLivesMatter #sexualassault #TimesUp #lockdownlessons",0,2,0,1277742109429284864,https://twitter.com/FatimaHasanSays/status/1277742109429284864,1218737646773637121,2020-06-29 23:13:52+00:00,Mon Jun 29 23:13:52 +0000 2020,#education #StudentLivesMatter #sexualassault #TimesUp #lockdownlessons,,,
32,ShahbazZafeer,,The best entertainment during lockdown. #Rasbhari @ReallySwara marvellous act in the whole series.,0,0,0,1277741438051074049,https://twitter.com/ShahbazZafeer/status/1277741438051074049,348186719,2020-06-29 23:11:12+00:00,Mon Jun 29 23:11:12 +0000 2020,#Rasbhari,@ReallySwara,,
33,STForeignDesk,,"More domestic flights, interstate trains as India eases virus lockdown; PM Modi to address nation on Tuesday ",0,0,0,1277741209759428610,https://twitter.com/STForeignDesk/status/1277741209759428610,1131352537,2020-06-29 23:10:18+00:00,Mon Jun 29 23:10:18 +0000 2020,,,,https://www.straitstimes.com/asia/south-asia/more-domestic-flights-interstate-trains-as-india-eases-virus-lockdown-pm-modi-to?utm_term=Autofeed&utm_campaign=sttw&utm_medium=Social&utm_source=Twitter#Echobox=1593472218
34,v_shakthi,,How much do you want a haircut these days? @DaraDoy joined a midnight queue to get a trim when the lockdown ended in Ireland late Sunday night ,0,1,0,1277741128192626688,https://twitter.com/v_shakthi/status/1277741128192626688,18936284,2020-06-29 23:09:58+00:00,Mon Jun 29 23:09:58 +0000 2020,,@DaraDoy,,
35,STcom,,"More domestic flights, interstate trains as India eases virus lockdown; PM Modi to address nation on Tuesday https://www.straitstimes.com/asia/south-asia/more-domestic-flights-interstate-trains-as-india-eases-virus-lockdown-pm-modi-to?utm_term=Autofeed&amp;utm_campaign=sttw&amp;utm_medium=social&amp;utm_source=Twitter#Echobox=1593472161",0,3,0,1277740973347528705,https://twitter.com/STcom/status/1277740973347528705,37874853,2020-06-29 23:09:21+00:00,Mon Jun 29 23:09:21 +0000 2020,,,,https://www.straitstimes.com/asia/south-asia/more-domestic-flights-interstate-trains-as-india-eases-virus-lockdown-pm-modi-to?utm_term=Autofeed&utm_campaign=sttw&utm_medium=social&utm_source=Twitter#Echobox=1593472161
36,v_shakthi,,"After flights to Argentina were cut due to the Covid-19 lockdown, Juan Manuel Ballestero crossed the Atlantic on a small sailboat to be reunited with his parents ",1,1,0,1277740662952038401,https://twitter.com/v_shakthi/status/1277740662952038401,18936284,2020-06-29 23:08:07+00:00,Mon Jun 29 23:08:07 +0000 2020,,,,
37,news1041,,"No Lockdown Extension In Punjab, Says Amarinder Singh ",0,0,0,1277740599525941256,https://twitter.com/news1041/status/1277740599525941256,1251109747861811200,2020-06-29 23:07:52+00:00,Mon Jun 29 23:07:52 +0000 2020,,,,https://news104.com/no-lockdown-extension-in-punjab-says-amarinder-singh/
38,ImeImran,ICC,Why dont arrnge world cup Getting frustrated in lockdown,0,0,0,1277740510359072769,https://twitter.com/ImeImran/status/1277740510359072769,316715654,2020-06-29 23:07:31+00:00,Mon Jun 29 23:07:31 +0000 2020,,,,
39,pinkvilla,,Shah Rukh Khan & Salman Khan's unseen throwback PHOTO reminds us of the good old times before lockdown - https://www.pinkvilla.com/entertainment/news/shah-rukh-khan-salman-khans-unseen-throwback-photo-reminds-us-good-old-times-lockdown-545498 #ShahRukhKhan #SalmanKhan,3,20,0,1277740172013178882,https://twitter.com/pinkvilla/status/1277740172013178882,14182050,2020-06-29 23:06:10+00:00,Mon Jun 29 23:06:10 +0000 2020,#ShahRukhKhan #SalmanKhan,,,https://www.pinkvilla.com/entertainment/news/shah-rukh-khan-salman-khans-unseen-throwback-photo-reminds-us-good-old-times-lockdown-545498
40,itsmridulkala,,Okay! so this showed up on my feed... But how did they get this exact figure when they're supposed to be in lockdown ,0,0,0,1277740105461981184,https://twitter.com/itsmridulkala/status/1277740105461981184,931730246667157505,2020-06-29 23:05:55+00:00,Mon Jun 29 23:05:55 +0000 2020,,,,
41,Angel_Ishu_06,,Due to corona America : We can't survive Italy : We fail in applying lockdown UK : The end is near Russia : We have lost control Le India MHRD : Students please give neet and jee exams before you die and download the NTA abhyas app #WakeupHRDpostponeNEETjee #HealthOverExams,6,2,0,1277740071957852160,https://twitter.com/Angel_Ishu_06/status/1277740071957852160,1256104041521659906,2020-06-29 23:05:47+00:00,Mon Jun 29 23:05:47 +0000 2020,#WakeupHRDpostponeNEETjee #HealthOverExams,,,
42,TarunJain311990,,@nsitharaman @narendramodi @cbic_india @FinMinIndia @ianuragthakur we are trapped in lockdown... why are we given punishment for not filing when we are not allowed to work itself... pls help pls help n understand ,0,0,0,1277739894429724672,https://twitter.com/TarunJain311990/status/1277739894429724672,1361459377,2020-06-29 23:05:04+00:00,Mon Jun 29 23:05:04 +0000 2020,,@nsitharaman @narendramodi @cbic_india @FinMinIndia @ianuragthakur,,
43,hemeshnimbalkar,,"If lockdown doesn’t happens again , coronavirus will show its extreme stage . ",0,0,0,1277739624769531905,https://twitter.com/hemeshnimbalkar/status/1277739624769531905,155933967,2020-06-29 23:04:00+00:00,Mon Jun 29 23:04:00 +0000 2020,,,,
44,naveenkumrah,,"@CMOMaharashtra @CPMumbaiPolice @ThaneCityPolice @AUThackeray @DrSEShinde Sir I need to report something about LalChakki Ulhasnagar 421004 area, people are so careless here they don't follow any lockdown rules. Roam without mask smoke on roads spit the Tobacco",0,2,1,1277739412219019266,https://twitter.com/naveenkumrah/status/1277739412219019266,141989808,2020-06-29 23:03:09+00:00,Mon Jun 29 23:03:09 +0000 2020,,@CMOMaharashtra @CPMumbaiPolice @ThaneCityPolice @AUThackeray @DrSEShinde,,
45,KhaberTaaza,,Leicester residents told ‘STAY HOME’ as city forced back into lockdown after virus surge https://taazakhaber.com/leicester-residents-told-stay-home-as-city-forced-back-into-lockdown-after-virus-surge/,0,0,0,1277739387904765956,https://twitter.com/KhaberTaaza/status/1277739387904765956,1235026267583508481,2020-06-29 23:03:03+00:00,Mon Jun 29 23:03:03 +0000 2020,,,,https://taazakhaber.com/leicester-residents-told-stay-home-as-city-forced-back-into-lockdown-after-virus-surge/
46,BanglaViral,,Lockdown tightened in Leicester as coronavirus cases surge – BBC News ,0,0,0,1277739035528769537,https://twitter.com/BanglaViral/status/1277739035528769537,739987116721983489,2020-06-29 23:01:39+00:00,Mon Jun 29 23:01:39 +0000 2020,,,,http://www.banglaviral.com/lockdown-tightened-in-leicester-as-coronavirus-cases-surge-bbc-news/
47,InNationwides,,"No Lockdown Extension In Punjab, Says Amarinder Singh ",0,0,0,1277738854661992448,https://twitter.com/InNationwides/status/1277738854661992448,1252212518509899783,2020-06-29 23:00:56+00:00,Mon Jun 29 23:00:56 +0000 2020,,,,https://nationwides.in/no-lockdown-extension-in-punjab-says-amarinder-singh/
48,news18dotcom,,Maharashtra government announced that the entire state will remain under lockdown till July 31 to curb the spread of the coronavirus infection. ,0,2,0,1277738618602369027,https://twitter.com/news18dotcom/status/1277738618602369027,284920800,2020-06-29 23:00:00+00:00,Mon Jun 29 23:00:00 +0000 2020,,,,https://www.news18.com/news/india/maharashtra-extends-statewide-lockdown-till-july-31-as-coronavirus-cases-continue-to-rise-2692747.html
49,tez_coverage,,Local lockdown ordered in English city of Leicester over high Covid-19 infection rate ,0,0,0,1277738412506787840,https://twitter.com/tez_coverage/status/1277738412506787840,953608339874861057,2020-06-29 22:59:11+00:00,Mon Jun 29 22:59:11 +0000 2020,,,,http://tezcoverage.com/local-lockdown-ordered-in-english-city-of-leicester-over-high-covid-19-infection-rate/
50,thakuranuragv,,"Unlock-2.0: Lockdown will remain strict in Containment Zone, know who will be banned ",0,0,0,1277738114891513856,https://twitter.com/thakuranuragv/status/1277738114891513856,2693719487,2020-06-29 22:58:00+00:00,Mon Jun 29 22:58:00 +0000 2020,,,,https://newszee.in/unlock-2-0-lockdown-will-remain-strict-in-containment-zone-know-who-will-be-banned/
51,khan_nainam,,"Four hours notice for nationwide lockdown, seventeen hours notice for address to nation, simply amazing",0,3,1,1277737657469001729,https://twitter.com/khan_nainam/status/1277737657469001729,1208518876184498176,2020-06-29 22:56:11+00:00,Mon Jun 29 22:56:11 +0000 2020,,,,
